data-start,time,data-today,latitude,longitude,data-geopoint_test-altitude,data-geopoint_test-accuracy,data-select_country,data-datetime_test,data-select_soundwatchvessel,data-Boat_Driver,data-vessel,data-action,data-kayak_num,data-incidents,,data-select_previous,data-photos,data-photo_number,data-select_whaleinfo,data-species,data-select_pod,data-whaleinformation,data-select_behavior,data-changeinbehavior,data-select_wwf,data-vesselswwf,data-select_kayakwwf,data-sentinel,data-Comments,data-initials,data-meta-instanceID
8/8/2022,16:00,8/8/2022,48.4680442,-123.0852789,-18.37008264,4.748,USA,8/8/22 16:01,Raydiance,Alanna,PM,T,,"high_speed_within_1km, incorrectfast_approach, Fast_withinquartermile_whales, 400yd_inthepath, no_go_zone, shutdown_within400yards, shutdown_within300yds","high speed within 1km, incorrectfast approach, Fast withinquartermile whales, 400yd inthepath, no go zone, shutdown within400yards, shutdown within300yds",contact_no,photo_n,,whaleinfo_y,SRKWs,L,,behavior_y,"Longer dive, change in direction",wwf_n,2,kayakwwf_na,Research_Monitoring,"Straitwatch on scene, we contacted after incident",EC,uuid:7ab4ca20-b8de-499e-995e-904ab691562b
8/9/2022,13:01,9/8/2022,48.8302257,-123.0930858,-17.58617196,4.795,Canda,9/8/22 13:02,Raydiance,Erin,PM,WO,,inshore_of_whales,inshore of whales,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,Research_Monitoring,Attempted to hail over VHF,ASF,uuid:b6c07ba7-da31-4b49-aea6-bbea537983f3
8/9/2022,13:09,9/8/2022,48.821081,-123.0941831,-18.20878538,4.917,Canda,9/8/22 13:10,Raydiance,Alanna,PM,T,,"inshore_of_whales, high_speed_within_1km, incorrectfast_approach, fast_departurewithin400yds, 400_yards_under_power","inshore of whales, high speed within 1km, incorrectfast approach, fast departurewithin400yds, 400 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,,"On other side of whales from Soundwatch, unable to contact",EC,uuid:3df0d1f4-7325-44e7-b37e-0c46ded95d6c
8/9/2022,13:12,9/8/2022,48.817758,-123.0943484,-14.36445242,4.887,Canda,9/8/22 13:12,Raydiance,Alanna,PM,WO,,"inshore_of_whales, 400_yards_under_power","inshore of whales, 400 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,Research_Monitoring,"Soundwatch attempted to contact via radio. Vessel= Salina II, US pleasure craft, MMSI 367787730",EC,uuid:33b7f3f9-b09b-4564-9914-66bb22e9ff90
8/9/2022,13:17,9/8/2022,48.8142018,-123.0946925,-18.21383342,4.245,Canda,9/8/22 13:18,Raydiance,Alanna,PS,T,,"400_yards_under_power, shutdown_within400yards","400 yards under power, shutdown within400yards",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,kayakwwf_na,Research_Monitoring,"Sail boat Credo II, contacted after they were within 400 mts",EC,uuid:23c0d9fc-319a-4a7f-81ed-b18ce4b80176
8/9/2022,13:19,9/8/2022,48.8126526,-123.0923904,-17.72760465,4.701,Canda,9/8/22 13:20,Raydiance,Alanna,PM,T,,"inshore_of_whales, high_speed_within_1km","inshore of whales, high speed within 1km",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,1,kayakwwf_na,Research_Monitoring,Failed radio contact attempt,EC,uuid:09991344-6ce6-4532-a43f-ce9e52476278
8/9/2022,13:34,9/8/2022,48.8065436,-123.0972717,-19.12252656,4.809,Canda,9/8/22 13:34,Raydiance,Alanna,O,T,,"high_speed_within_1km, fast_departurewithin400yds","high speed within 1km, fast departurewithin400yds",contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,,"CAN gov vessel, Soundwatch previously contacted via radio and they left scene after whales passed them",Ec,uuid:96152a2a-cff9-4c3e-978b-d9ad42150da4
8/9/2022,15:10,9/8/2022,48.7448435,-123.0897105,-10.67007857,4.754,Canda,9/8/22 15:11,Raydiance,Erin,O,T,,"inshore_of_whales, high_speed_within_1km","inshore of whales, high speed within 1km",contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,1,kayakwwf_na,Research_Monitoring,,ASF,uuid:2d9310b6-8223-496f-81d3-370f97f7e8f5
8/13/2022,14:39,13/08/22,48.3104676,-123.6270599,-18.72849797,4.817,Canda,13/08/22 14:39,Raydiance,Erin,EU,WO,,cwwlp_withinhalfmile_time,cwwlp withinhalfmile time,contact_no,photo_y,7393-7394,whaleinfo_y,SRKWs,"J, K, L",All except for l54,behavior_unk,,wwf_n,1,,,Glacier spirit with SRKW in canada,Mab,uuid:f828980d-c129-47fb-8368-44f100d96b92
8/13/2022,15:23,13/08/22,48.286347,-123.5350305,-17.25953911,5.422,Canda,13/08/22 15:23,Raydiance,Erin,PS,WO,,"400_yards_under_power, 200_yards_under_power, 300_yards_under_power","400 yards under power, 200 yards under power, 300 yards under power",contact_no,photo_y,7395-7403,whaleinfo_y,SRKWs,"J, K, L",All except L54,behavior_unk,,wwf_n,1,,,,Mab,uuid:e7d9225e-062c-4085-abbb-9fba2284c0d9
