start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,select_whaleinfo,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials,meta:instanceID
Thu Aug 15 19:09:02 UTC 2019,Thu Aug 15 19:10:48 UTC 2019,Thu Aug 15 00:00:00 UTC 2019,48.47183,-123.07726,0.00E+00,3.9,Thu Aug 15 19:09:00 UTC 2019,Luna,Jess,EU,WO,,300_yards_under_power,300 yards under power,contact_no,photo_y,whaleinfo_y,Jpod,behavior_n,,,,,Puget sound express \ western prince,Em,uuid:43f3d31e-c8f2-47d5-8a67-8434ecc0c337
Thu Aug 15 19:25:25 UTC 2019,Thu Aug 15 19:28:51 UTC 2019,Thu Aug 15 00:00:00 UTC 2019,48.47476333,-123.085415,0.00E+00,3.9,Thu Aug 15 19:25:00 UTC 2019,Luna,Jess,EU,WO,,300_yards_under_power,300 yards under power,contact_no,photo_y,whaleinfo_y,Jpod,behavior_n,,wwf_n,,kayakwwf_n,,Em,uuid:348c9853-06ee-4685-9037-70b21ef1a88f
Thu Aug 15 19:57:43 UTC 2019,Thu Aug 15 20:00:04 UTC 2019,Thu Aug 15 00:00:00 UTC 2019,48.47604667,-123.0949217,0.00E+00,3.9,Thu Aug 15 19:57:00 UTC 2019,Luna,Jess,PM,WO,,300_yards_under_power no_go_zone,300 yards under power,contact_no,photo_n,whaleinfo_y,Jpod,behavior_y,Deep dive,wwf_n,3,,"Name:Waterfront , Friday harbor",Em,uuid:8895fd95-a4e0-4fc4-991f-aaa9965c4457
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Thu Aug 15 20:07:29 UTC 2019,Thu Aug 15 20:08:54 UTC 2019,Thu Aug 15 00:00:00 UTC 2019,48.46539,-123.0924483,0.00E+00,3.9,Thu Aug 15 20:07:00 UTC 2019,Luna,Jess,PM,T,,high_speed_within_1km 300_yards_under_power 400yd_inthepath no_go_zone,high speed within 1km,contact_no,photo_y,whaleinfo_y,Jpod,behavior_n,,wwf_n,3,,,Em,uuid:6ddd02d5-d002-470f-968c-a949242cce70
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Thu Aug 15 21:24:09 UTC 2019,Thu Aug 15 21:25:43 UTC 2019,Thu Aug 15 00:00:00 UTC 2019,48.50952333,-123.1622283,-8.199999809,3.9,Thu Aug 15 21:24:00 UTC 2019,Luna,Jess,PK,T,2,inshore_of_whales,inshore of whales,contact_no,photo_n,whaleinfo_y,Jpod and K's,behavior_n,,wwf_n,1,kayakwwf_y,,Em,uuid:73f5c8b9-0330-4e00-8066-a32df6b977e8
Fri Aug 16 18:44:15 UTC 2019,Fri Aug 16 18:45:23 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.463785,-123.0702917,-7.099999905,3.9,Fri Aug 16 18:44:00 UTC 2019,Raydiance,Jeds,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,J16,,,wwf_n,2,,,Kw,uuid:3e6bc79a-eb36-49b0-8b17-fe94588e4aec
Fri Aug 16 18:54:28 UTC 2019,Fri Aug 16 18:55:50 UTC 2019,Fri Aug 16 00:00:00 UTC 2019,48.47103333,-123.0761233,-7.099999905,3.9,Fri Aug 16 18:54:00 UTC 2019,Raydiance,Jess,PM,T,,high_speed_within_1km 400yd_inthepath,high speed within 1km,contact_no,photo_n,whaleinfo_y,"J31 and calf, j16s",behavior_n,,wwf_n,1,kayakwwf_n,,Kw,uuid:4bb150a8-81c1-4794-99bd-f12187294c87
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
