start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,vessel,action,kayak_num,incidents,ODK conversion,select_photo,whaleinfo:whaleinfoYN,whaleinfo:whaleinfoY:whaleID,whaleinfo:whaleinfoY:Idphoto,whaleinfo:whaleinfoY:behavior,whaleinfo:whaleinfoY:behaviorchange,vesselwhaleflag,num_VWF,kayaklandflag,Initials,Comments,meta:instanceID
Sat Jul 14 20:26:32 UTC 2018,Sat Jul 14 20:27:39 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4603955,-123.0513851,-5.400000095,10,Sat Jul 14 20:26:00 UTC 2018,PM,T,,high_speed_within_400 no_go_zone Fast_withinquartermile_whales,high speed within 400,photo_y,info_yes,"J,k pod",photo_n,behavior_unk,,vwf_n,2,,DKA,,uuid:79ff30e0-92f7-4946-b184-acfe54cd8306
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Sat Jul 14 20:34:13 UTC 2018,Sat Jul 14 20:36:23 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4583826,-123.0473876,-5.400000095,10,Sat Jul 14 20:34:00 UTC 2018,PM,T,,200_yards_under_power 400yd_inthepath Fast_withinquartermile_whales,200 yards under power,photo_y,info_yes,"J,k pods",photo_n,behavior_unk,,vwf_n,2,,DKA,,uuid:885006ba-f3fe-4f1f-98a8-60681599f03a
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Sat Jul 14 20:36:30 UTC 2018,Sat Jul 14 20:37:58 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4589273,-123.0478547,-5.400000095,10,Sat Jul 14 20:36:00 UTC 2018,PM,T,,high_speed_within_400 200_yards_under_power 400yd_inthepath Fast_withinquartermile_whales,high speed within 400,photo_y,info_yes,"J,k",photo_n,behavior_unk,,vwf_n,2,,DKA,,uuid:76165a0e-d835-4759-9940-157376864cdc
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Sat Jul 14 20:44:35 UTC 2018,Sat Jul 14 20:45:23 UTC 2018,Sat Jul 14 00:00:00 UTC 2018,48.4590131,-123.046096,-5.400000095,10,Sat Jul 14 20:44:00 UTC 2018,PM,T,,no_go_zone,no go zone,photo_n,info_yes,"J,k",photo_n,behavior_n,,vwf_n,1,,DKA,,uuid:89ee07f4-6c8d-4a39-afe6-b1e95e6a1d3b
